الشاهد,الإسناد,القيمة,حالة الإسناد,المصدر,الموضع,النص,الموقف,المطابقة وطريقتها,ملاحظة,الرابط
ATT-058,AST-014,1009–1031 / 399–422هـ,موثّق جزئيًا,دولة الإسلام في الأندلس,ج1 ص669 (بحسب ترقيم الشاملة للمطبوع)، الكتاب الرابع، الفصل الثاني: دولة بنى حمود,(ذو القعدة سنة ٤٢٢ هـ - نوفمبر سنة ١٠٣١ م),يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),الشاهد نفسه في ATT-011 يثبت أحد طرفي النطاق.,https://shamela.ws/book/1009/658
ATT-201,AST-012,929–929 / 316هـ,حُسم الخلاف,ابن عذاري المراكشي (ت بعد 712هـ؛ تاريخ الشاملة 695)، البيان المغرب في أخبار الأندلس والمغرب — نسخة الشاملة 11782,ج2 ص198 (ضمن حوادث «سنة ٣١٦» المعنونة في ج2 ص196),وفي هذه السنة، رأى الناصر أن تكون الدعوة له في مخاطباته والمخاطبات له في جميع ما يجري ذكره فيه، بأمير المؤمنين,يدعم,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),عنوان السنة في ج2 ص196: «وفي سنة ٣١٦، كان غزاة أمير المؤمنين الناصر إلى مدينة ببشتر»؛ وفي ص198 أنه عهد إلى القاضي أحمد بن بقي «بأن تكون الخطبة يوم الجمعة مستهل ذي الحجة بذلك» (مستهل ذي الحجة 316هـ ≈ 15 يناير 929م بالتحويل الجدولي).,https://shamela.ws/book/11782/506
ATT-202,AST-012,929–929 / 316هـ,حُسم الخلاف,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص13، ولاية عبد الرحمن الناصر,وجرى على ذلك عبد الرحمن بن محمد إلى آخر السنة السابعة عشر من ولايته، فلما بلغه ضعف الخلافة بالعراق في أيام المقتدر، وظهور الشيعة بالقيروان، تسمى عبد الرحمن بأمير المؤمنين، وتلقب بالناصر لدين الله,يدعم جزئيًا,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),تأريخ نسبي بسنوات الولاية لا بسنة هجرية صريحة؛ يتسق مع أواخر 316هـ ولا يحسم وحده.,https://shamela.ws/book/5742/13
ATT-203,AST-027,إعلان عبد الرحمن الثالث الخلافة سنة 316هـ/929م,حُسم الخلاف,ابن عذاري المراكشي (ت بعد 712هـ؛ تاريخ الشاملة 695)، البيان المغرب في أخبار الأندلس والمغرب — نسخة الشاملة 11782,ج2 ص198 (ضمن حوادث سنة 316),وقد رأينا أن تكون الدعوة لنا بأمير المؤمنين، وخروج الكتب عنا وورودها علينا بذلك,يدعم,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),من نص الرسالة التي أنفذها الناصر إلى العمال، كما أوردها ابن عذاري.,https://shamela.ws/book/11782/506
ATT-204,AST-017,عبد الرحمن | أبو المطرف | بن محمد بن عبد الله | الأموي | الناصر لدين الله,موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص13، ولاية عبد الرحمن الناصر,وتلقب بالناصر لدين الله، وكان يكنى أبا المطرف,يدعم,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),,https://shamela.ws/book/5742/13
ATT-205,AST-019,الحكم | أبو العاص | بن عبد الرحمن الناصر | الأموي | المستنصر بالله,موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص13، ولاية الحكم المستنصر,ثم ولى بعده ابنه الحكم بن عبد الرحمن، ويلقب بالمستنصر بالله، وله إذ ولى سبع وأربعون سنة، يكنى أبا العاص,يدعم,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),,https://shamela.ws/book/5742/13
ATT-206,AST-021,محمد | أبو عامر | بن عبد الله بن أبي عامر | المعافري | المنصور,موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص78، ترجمة محمد بن أبي عامر,محمد بن أبي عامر أبو عامر، أمير الأندلس في دولة هشام المؤيد,يدعم,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),وفي الصفحة نفسها: «وحجب هشاماً المؤيد، وتلقب بالمنصور»؛ وفي ص79 عن ابن حزم: «معافري النسب من حمير».,https://shamela.ws/book/5742/78
ATT-207,AST-023,خلف | أبو القاسم | بن عباس | الزهراوي | ,موثّق,ابن بشكوال (ت 578هـ)، الصلة في تاريخ أئمة الأندلس — نسخة الشاملة 22788 (قد تختلف عن طبعة بشار عواد المفهرسة),ص162، حرف الخاء، من اسمه خلف,خلف بن عباس الزهراوي، يكنى: أبا القاسم,يدعم,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),ينقل ابن بشكوال وصفه عن الحميدي وثناءه عن ابن حزم.,https://shamela.ws/book/22788/151
ATT-208,AST-022,توفي بعد 400هـ (1009م)؛ السنة المحددة غير معروفة (نحو 1013م عند Britannica، و427هـ/1036م عند الزركلي),موثّق جزئيًا,ابن بشكوال (ت 578هـ)، الصلة في تاريخ أئمة الأندلس — نسخة الشاملة 22788 (قد تختلف عن طبعة بشار عواد المفهرسة),ص162، حرف الخاء، من اسمه خلف,مات بالأندلس بعد الأربع مئة,يدعم جزئيًا,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),يحدّ الوفاة بما بعد 400هـ (بعد أغسطس 1009م) دون سنة بعينها؛ الميلاد غير مذكور. سنة 1013 تبقى من Britannica وحدها.,https://shamela.ws/book/22788/151
ATT-209,AST-G13,محمد بن يوسف بن نصر؛ أبو عبد الله؛ الغالب بالله؛ ابن الأحمر,موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج1 ص41,ثم لم ينشب أن تملّكها أمير المسلمين الغالب بالله محمد بن يوسف بن نصر الخزرجي,يدعم,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),والكنية في ج1 ص200: «أمير المسلمين أبي عبد الله الغالب بالله».,https://shamela.ws/book/11682/74
ATT-210,AST-G15,1339 (22 جمادى الآخرة 739هـ) – 1391 (793هـ),صُحح وموثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج2 ص50، ترجمة محمد بن يوسف بن إسماعيل (محمد الخامس)، «مولده السعيد النشيئة»,في نحو ثلث ليلة الاثنين والعشرين من جمادى الآخرة عام تسعة وثلاثين وسبعمائة. قلت: ووافقه من التاريخ الأعجمي رابع ينير من عام ألف وثلاثمائة وسبعة وسبعين,يدعم,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),22 جمادى الآخرة 739هـ = 4/5 يناير 1339م (الجدولي يعطي 5 يناير؛ والنص يذكر 4 يناير بتقويم الصفر = 1377−38 = 1339م). القيمة السابقة 1338 خطأ. (يصحح القيمة السابقة 1338),https://shamela.ws/book/11682/421
ATT-211,AST-G16,1313 (25 رجب 713هـ) – 1374/1375 (776هـ),موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج4 ص548، آخر ترجمة ابن الخطيب لنفسه,مولدي: في الخامس والعشرين لرجب عام ثلاثة عشر وسبعمائة,يدعم,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),25 رجب 713هـ ≈ 15 نوفمبر 1313م بالتحويل الجدولي.,https://shamela.ws/book/11682/1794
ATT-212,AST-G17,1333 (14 شوال 733هـ) – بعد 795هـ (أواخر 1393م أو بعدها),موثّق جزئيًا,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج7 ص160، باب تلامذة لسان الدين، ترجمة ابن زمرك,مولده رابع عشر شوال من عام ثلاثة وثلاثين وسبعمائة,يدعم,مطابق حرفيًا لنص المقري؛ والمقري ينقله عن الإحاطة (نقل بواسطة),14 شوال 733هـ ≈ 28 يونيو 1333م. النص قول ابن الخطيب في الإحاطة كما نقله المقري.,https://shamela.ws/book/1002/3845
ATT-213,AST-G17,1333 (14 شوال 733هـ) – بعد 795هـ (أواخر 1393م أو بعدها),موثّق جزئيًا,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج7 ص170، ترجمة ابن زمرك,وقد فهم من مضمون ما سبق أن قتل ابن زمرك بعد عام خمسة وتسعين وسبعمائة، ولم أقف من أمره على غير ما تقدم.,يدعم جزئيًا,مطابق حرفيًا (فحص مباشر عبر وصلة الشاملة، نص النسخة الرقمية),المقري لا يعرف سنة القتل؛ يحدها بما بعد 795هـ (795هـ = 17 نوفمبر 1392 – 5 نوفمبر 1393م). سنة 1393 إذن حدّ أدنى لا تاريخ وفاة، وسنة 797هـ/1395 عند عنان تحتاج مصدرها.,https://shamela.ws/book/1002/3855
ATT-214,AST-G17,1333 (14 شوال 733هـ) – بعد 795هـ (أواخر 1393م أو بعدها),موثّق جزئيًا,Patronato de la Alhambra y Generalife,"صفحة «Ibn Zamrak, un poeta en la Alhambra»",Ibn Zamrak (1333-1394),يخالف,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),موقع الباترونato نفسه غير متسق: 1393 في صفحة «Yesería Arrayanes» و1394 هنا؛ وعنان 1395؛ والمصدر الأولي (المقري) «بعد 795هـ» فقط.,https://www.alhambra-patronato.es/ibn-zamrak-un-poeta-en-la-alhambra
ATT-215,AST-011,756–756 / 138هـ,موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص9,واستولى عبد الرحمن على قرطبة يوم الأضحى من العام المذكور,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),العام المذكور = 138هـ؛ يوم الأضحى 10 ذي الحجة 138هـ ≈ 15 مايو 756م (جدولي).,https://shamela.ws/book/5742/9
ATT-216,AST-001,756,موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص9,واستولى عبد الرحمن على قرطبة يوم الأضحى من العام المذكور,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),العام المذكور = 138هـ؛ يوم الأضحى 10 ذي الحجة 138هـ ≈ 15 مايو 756م (جدولي).,https://shamela.ws/book/5742/9
ATT-217,AST-007,756–788 (أمير),حُسم الخلاف,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص9,فاتصلت ولايته إلى أن مات سنة اثنتين وسبعين ومائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),172هـ = 788/789م.,https://shamela.ws/book/5742/9
ATT-218,AST-008,912–929 (أمير),موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص12، ولاية عبد الله بن محمد,فلم يزل كذلك طول ولايته إلى أن مات مستهل ربيع الأول سنة ثلاث مائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),وفاة الأمير عبد الله وولاية حفيده عبد الرحمن: مستهل ربيع الأول 300هـ ≈ 16 أكتوبر 912م.,https://shamela.ws/book/5742/12
ATT-219,AST-016,891–961,صُحح وموثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص12، ولاية عبد الرحمن الناصر,فولى الأمر وله اثنتان وعشرون سنة,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),سنّه عند الولاية سنة 300هـ تجعل مولده نحو 277/278هـ (890/891م)؛ تأريخ تقريبي بالسن.,https://shamela.ws/book/5742/12
ATT-220,AST-009,929–961 (خليفة),موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص13,ثم اتصلت ولايته إلى أن مات في صدر رمضان سنة خمسين وثلاث مائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),صدر رمضان 350هـ ≈ منتصف أكتوبر 961م.,https://shamela.ws/book/5742/13
ATT-221,AST-016,891–961,صُحح وموثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص13,ثم اتصلت ولايته إلى أن مات في صدر رمضان سنة خمسين وثلاث مائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),صدر رمضان 350هـ ≈ منتصف أكتوبر 961م.,https://shamela.ws/book/5742/13
ATT-222,AST-018,915–976,موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص13، ولاية الحكم المستنصر,وله إذ ولى سبع وأربعون سنة,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),سنّه عند الولاية (350هـ) تجعل مولده نحو 302/303هـ (915م)؛ تأريخ تقريبي بالسن.,https://shamela.ws/book/5742/13
ATT-223,AST-010,961–976 (خليفة),موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص16,فاتصلت ولايته إلى أن مات في صفر سنة ست وستين وثلاث مائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),صفر 366هـ ≈ أكتوبر 976م.,https://shamela.ws/book/5742/16
ATT-224,AST-018,915–976,موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص16,فاتصلت ولايته إلى أن مات في صفر سنة ست وستين وثلاث مائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),صفر 366هـ ≈ أكتوبر 976م.,https://shamela.ws/book/5742/16
ATT-225,AST-005,1009,موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص17، ولاية هشام المؤيد,إلى أن قام عليه محمد بن هشام بن عبد الجبار يوم الثلاثاء لثمان عشرة ليلة خلت من جمادى الآخرة سنة تسع وتسعين وثلثمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),18 جمادى الآخرة 399هـ ≈ 17 فبراير 1009م (جدولي؛ وعنان 16 فبراير).,https://shamela.ws/book/5742/17
ATT-226,AST-014,1009–1031 / 399–422هـ,موثّق جزئيًا,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص17، ولاية هشام المؤيد,إلى أن قام عليه محمد بن هشام بن عبد الجبار يوم الثلاثاء لثمان عشرة ليلة خلت من جمادى الآخرة سنة تسع وتسعين وثلثمائة,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),18 جمادى الآخرة 399هـ ≈ 17 فبراير 1009م (جدولي؛ وعنان 16 فبراير).,https://shamela.ws/book/5742/17
ATT-227,AST-006,1031,موثّق,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص28، ولاية هشام بن محمد المعتد,ولم يبق إلا يسيراً حتى قامت عليه فرقة من الجند، فخلع، وجرت أمور يكثر شرحها، وانقطعت الذعوة الأموية من يومئذ فيها,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),بعد دخوله قرطبة 8 ذي الحجة 420هـ؛ الحميدي لا يذكر سنة الخلع (422هـ/1031م عند غيره). «الذعوة» تصحيف «الدعوة» في النسخة الرقمية.,https://shamela.ws/book/5742/28
ATT-228,AST-004,1009–1031,موثّق جزئيًا,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص28، ولاية هشام بن محمد المعتد,ولم يبق إلا يسيراً حتى قامت عليه فرقة من الجند، فخلع، وجرت أمور يكثر شرحها، وانقطعت الذعوة الأموية من يومئذ فيها,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),بعد دخوله قرطبة 8 ذي الحجة 420هـ؛ الحميدي لا يذكر سنة الخلع (422هـ/1031م عند غيره). «الذعوة» تصحيف «الدعوة» في النسخة الرقمية.,https://shamela.ws/book/5742/28
ATT-229,AST-013,936 / محرم 325هـ (بدء البناء),موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج1 ص567,بدأ عبد الرحمن الناصر لدين الله بنيان الزهراء أول سنة خمس وعشرين وثلاثمائة,يدعم,مطابق حرفيًا بعد حذف رقم الحاشية (٤) (فحص آلي بأداة verify_quote، 2026-09-23),نقل بواسطة: ابن حيان عن خط ابن دحون عن مسلمة بن عبد الله العريف المهندس. أول 325هـ ≈ نوفمبر 936م.,https://shamela.ws/book/1002/586
ATT-230,AST-020,نحو 938–940 – 1002 (27 رمضان 392هـ),موثّق جزئيًا,ابن عذاري المراكشي (ت بعد 712هـ؛ تاريخ الشاملة 695)، البيان المغرب في أخبار الأندلس والمغرب — نسخة الشاملة 11782,ج2 ص301,وفي سنة ٣٩٢، توفى المنصور ابن أبي عامر ﵀ ليلة الاثنين لثلاث بقين لرمضان المعظم، وهو ابن خمس وستين سنة وعشرة أشهر,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),27 رمضان 392هـ ≈ 9 أغسطس 1002م. والسنّ (65 سنة و10 أشهر قمرية) تجعل مولده نحو ذي القعدة 326هـ (938م)، لا 328هـ كما عند عنان.,https://shamela.ws/book/11782/609
ATT-231,AST-020,نحو 938–940 – 1002 (27 رمضان 392هـ),موثّق جزئيًا,الحميدي (ت 488هـ)، جذوة المقتبس في ذكر ولاة الأندلس — نسخة الشاملة 5742,ص79، ترجمة محمد بن أبي عامر,وتوفي في طريق الغزو في أقصى الثغور بمدينة سالم سنة ثلاث وتسعين وثلاث مائة,يخالف,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),رواية مخالفة: 393هـ عند الحميدي، و392هـ عند ابن عذاري (بيوم وشهر) وعنان. الترجيح لـ392 لتفصيل ابن عذاري.,https://shamela.ws/book/5742/79
ATT-232,AST-G01,1232–1238 (إعلان ابن الأحمر 1232 / دخول غرناطة 1238),موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج2 ص56، نقش قبر محمد الأول كما أورده ابن الخطيب,وبويع له يوم الجمعة السادس والعشرين من رمضان عام خمسة وثلاثين وستمائة,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),26 رمضان 635هـ ≈ 12 مايو 1238م (عنان: أبريل 1238).,https://shamela.ws/book/11682/427
ATT-233,AST-G19,1238 / 635هـ,موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج2 ص56، نقش قبر محمد الأول كما أورده ابن الخطيب,وبويع له يوم الجمعة السادس والعشرين من رمضان عام خمسة وثلاثين وستمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),26 رمضان 635هـ ≈ 12 مايو 1238م (عنان: أبريل 1238).,https://shamela.ws/book/11682/427
ATT-234,AST-G03,1232–1273,موثّق جزئيًا,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج2 ص56، نقش قبر محمد الأول,وكانت وفاته يوم الجمعة بعد صلاة العصر التاسع والعشرين لجمادى الآخرة عام أحد وسبعين وستمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),29 جمادى الآخرة 671هـ ≈ 21 يناير 1273م؛ فقول عنان «ديسمبر 1272» سهو في التحويل.,https://shamela.ws/book/11682/427
ATT-235,AST-G04,1273–1302,موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج1 ص41,ثم ولي الأمر بعده ولده وسميّه محمد بن محمد، فقام بها أحمد قيام، وتوفي عام أحد وسبعمائة.,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),701هـ = سبتمبر 1301 – أغسطس 1302م.,https://shamela.ws/book/11682/74
ATT-236,AST-G05,1333–1354,موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج4 ص292، نقش قبر يوسف الأول (من إملاء ابن الخطيب),وكانت ولايته الملك في غرة اليوم الرابع عشر لذي الحجة من عام ثلاثة وثلاثين وسبعمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),14 ذي الحجة 733هـ ≈ 26 أغسطس 1333م.,https://shamela.ws/book/11682/1539
ATT-237,AST-G05,1333–1354,موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج4 ص292,وذلك في السجدة الأخيرة من صلاة العيد، غرة شوال، من عام خمسة وخمسين وسبعمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),1 شوال 755هـ ≈ 19 أكتوبر 1354م.,https://shamela.ws/book/11682/1539
ATT-238,AST-G14,1318 (28 ربيع الآخر 718هـ) – 1354 (1 شوال 755هـ),صُحح وموثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج4 ص292,ومولده في الثامن والعشرين لربيع الآخر عام ثمانية عشر وسبعمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),28 ربيع الآخر 718هـ ≈ 29 يونيو 1318م.,https://shamela.ws/book/11682/1539
ATT-239,AST-G14,1318 (28 ربيع الآخر 718هـ) – 1354 (1 شوال 755هـ),صُحح وموثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج4 ص292,وذلك في السجدة الأخيرة من صلاة العيد، غرة شوال، من عام خمسة وخمسين وسبعمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),1 شوال 755هـ ≈ 19 أكتوبر 1354م.,https://shamela.ws/book/11682/1539
ATT-240,AST-G06,1354–1359,موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج2 ص4، ترجمة محمد الخامس,ساق الله إليه الملك طواعية واختيارا، إثر صلاة عيد الفطر على بغتة وفاة المقدّس أبيه، من عام خمسة وخمسين وسبعمائة,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),بداية الولاية الأولى: 1 شوال 755هـ (أكتوبر 1354م). نهايتها 28 رمضان 760هـ في أعمال الأعلام ص306 (ATT-262).,https://shamela.ws/book/11682/375
ATT-241,AST-G07,1362–1391,حُسم الخلاف,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج2 ص13، «الحادثة التي جرت عليه»,وكان دخول السلطان دار ملكه، وعوده إلى أريكة سلطانه، وحلوله بمجلس أبيه وجدّه، زوال يوم السبت الموفي عشرين لجمادى الثانية من عام ثلاثة وستين وسبعمائة,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),20 جمادى الآخرة 763هـ ≈ 16 أبريل 1362م.,https://shamela.ws/book/11682/384
ATT-242,AST-G22,1362–1391 (محمد الخامس),موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج2 ص13، «الحادثة التي جرت عليه»,وكان دخول السلطان دار ملكه، وعوده إلى أريكة سلطانه، وحلوله بمجلس أبيه وجدّه، زوال يوم السبت الموفي عشرين لجمادى الثانية من عام ثلاثة وستين وسبعمائة,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),20 جمادى الآخرة 763هـ ≈ 16 أبريل 1362م.,https://shamela.ws/book/11682/384
ATT-243,AST-G11,1482–1483,موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص514 (حوادث سنة 887هـ المعنونة في ص512),وفي هذا اليوم بعينه هرب الأميران أبو عبد الله محمد وأبو الحجاج يوسف خوفاً من أبيهما أن يفتك بهما بإشارة حظيته الرومية ثريا، واستقرا بوادي آش، وقامت بدعوتهما، ثم بايعتهما تلك المرية وبسطة وغرناطة، وهرب أبوهما السلطان أبو الحسن إلى مالقة.,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),اليوم = 27 جمادى الأولى 887هـ ≈ 14 يوليو 1482م.,https://shamela.ws/book/1002/2536
ATT-244,AST-G08,868هـ (1463/1464) – 1482,حُسم الخلاف,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص514 (حوادث سنة 887هـ المعنونة في ص512),وفي هذا اليوم بعينه هرب الأميران أبو عبد الله محمد وأبو الحجاج يوسف خوفاً من أبيهما أن يفتك بهما بإشارة حظيته الرومية ثريا، واستقرا بوادي آش، وقامت بدعوتهما، ثم بايعتهما تلك المرية وبسطة وغرناطة، وهرب أبوهما السلطان أبو الحسن إلى مالقة.,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),اليوم = 27 جمادى الأولى 887هـ ≈ 14 يوليو 1482م.,https://shamela.ws/book/1002/2536
ATT-245,AST-G11,1482–1483,موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص515,وكان في جملة من أسر السلطان أبو عبد الله، ولم يعرف,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),في ربيع الأول 888هـ (أبريل 1483م) بحسب سياق الصفحة.,https://shamela.ws/book/1002/2537
ATT-246,AST-G09,1483–1485,موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص515,ولما تعذر أمره قدم أخاه أبا عبد الله، وخلع له نفسه، ونزل بالمنكب، فأقام بها إلى أن مات، واستقل أخوه أبو عبد الله المعروف بالزغل بالملك بعده.,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),التسلسل: عودة أبي الحسن ثم نزوله للزغل؛ بلا سنة صريحة (890هـ/1485م عند عنان).,https://shamela.ws/book/1002/2537
