المعرف,الفئة,العنوان الأصلي,العنوان العربي/الترجمة الوصفية,المسؤولية العلمية,الناشر/المؤسسة,السنة,الطبعة/الأجزاء,ISBN/DOI,بيانات الدورية,بيانات المخطوط,النوع,اللغة,اللغة الأساسية,العصر,المحاور,النطاق الجغرافي,القيمة البحثية,مستوى القارئ,التقييم,سبب التقييم وحدود الاستخدام,رابط السجل/الناشر,رابط النص/المادة,الإتاحة,الحقوق,حالة التحقق,ما الذي فُحص فعليًا,أساس الوصف,فائدة المشروع,ملاحظات,ربط بـ v4.9,الإصدار,سجل التغيير,تاريخ التحقق,معرف المسار
LIB-ART-121,بحث علمي,"Espacios comerciales periurbanos y rurales en al-Andalus: estado de la cuestión de los mercados ""sin rastro""",الفضاءات التجارية في الضواحي والأرياف الأندلسية: حالة البحث في الأسواق «بلا أثر»,Alicia Hernández Robles,Universidad de Alicante,2025,,DOI: 10.14198/medieval.28390,Anales de la Universidad de Alicante. Historia Medieval 26: 115–134,,بحث,إسبانية,إسبانية,شامل,اقتصاد وتجارة; آثار; جغرافيا,الأندلس,حالة بحث في الأسواق الريفية وكيفية كشفها بالوثائق والطوبونيميا والنقود والموازين؛ يقترح منهجية مندمجة.,متقدم,A,مجلة جامعية محكّمة؛ مراجعة حديثة.,https://revistes.ua.es/medieval/article/view/28390,https://revistes.ua.es/medieval/article/view/28390,نص كامل مجاني,CC BY-NC-SA 4.0 (حسب صفحة المقال),اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة المقال عبر تحويل doi.org (المجلد 26، ص 115–134، DOI، الترخيص، الملخص). (تاريخ التحقق 2026-09-23),وصف ناشر,خريطة; مقال موسوعي,[محور: الاقتصاد: الأسواق] يخدم المحور 10 أيضًا.,,v1.1,v1.1: سجل جديد,2026-09-23,TA-35
LIB-ART-122,بحث علمي,El olvido de un sistema de cálculo de costes andalusí (primer tercio del siglo XIII),نسيان نظام أندلسي لحساب التكاليف (الثلث الأول من القرن 13),Jesús D. López-Manjón; Fernando Gutiérrez Hidalgo; Francisco Carrasco Fenech,Universidad de Murcia / ASEPUC,2016,,DOI (نسخة Elsevier حسب DOAJ): 10.1016/j.rcsar.2014.11.001,Revista de Contabilidad – Spanish Accounting Review 19(2): 187–194,,بحث,إسبانية,إسبانية,الموحدون,اقتصاد وتجارة; مؤسسات/قضاء/إدارة,مالقة/الأندلس,يحلل إجراءات حساب التكاليف لتحديد أسعار التجزئة في «كتاب في آداب الحسبة» للسقطي، ولماذا لم تنتقل إلى الممالك المسيحية.,متقدم,B,مجلة محاسبة محكّمة؛ منظور تاريخ المحاسبة لا الاستعراب.,https://revistas.um.es/rcsar/article/view/365991,https://revistas.um.es/rcsar/article/view/365991,نص كامل مجاني,CC BY-NC-ND 4.0 (حسب صفحة المقال),اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة المقال على موقع جامعة مرسية (العنوانان، المؤلفون، 19(2)، ص 187–194، الترخيص، الملخص). (تاريخ التحقق 2026-09-23),وصف ناشر,مقال موسوعي; درس,[محور: الاقتصاد: الأسعار/الحسبة] يكمل R-25 (الأسعار في كتب الحسبة) دون تكرار.,,v1.1,v1.1: سجل جديد,2026-09-23,TA-36
LIB-ART-123,بحث علمي,El reino nazarí de Granada como área de comercio internacional: ¿Colonia mercantil o espacio de integración?,مملكة غرناطة النصرية مجالًا للتجارة الدولية: مستعمرة تجارية أم فضاء اندماج؟,Adela Fábregas García,Universidad de Alicante,2014,,DOI: 10.14198/medieval.2012-2015.18.05,Anales de la Universidad de Alicante. Historia Medieval 18: 153–169,,بحث,إسبانية,إسبانية,غرناطة النصرية,اقتصاد وتجارة; بحرية وموانئ,مملكة غرناطة,يناقش التوجه التجاري لاقتصاد غرناطة ودور الجاليات التجارية الأجنبية واندماجها في أسواق الغرب ما قبل الرأسمالية.,بحثي متخصص,A,متخصصة بارزة في اقتصاد غرناطة ومجلة محكّمة.,https://revistes.ua.es/medieval/article/view/2014-n18-el-reino-nazari-de-granada-como-area-de-comercio-internacional-colonia-mercantil-o-espacio-de-integracion,https://revistes.ua.es/medieval/article/view/2014-n18-el-reino-nazari-de-granada-como-area-de-comercio-internacional-colonia-mercantil-o-espacio-de-integracion,نص كامل مجاني,CC BY 4.0 (حسب صفحة المقال),اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة المقال (المجلد 18، ص 153–169، DOI، الترخيص، الملخص). (تاريخ التحقق 2026-09-23),وصف ناشر,خريطة; مقال موسوعي,[محور: الاقتصاد: التجارة],,v1.1,v1.1: سجل جديد,2026-09-23,TA-37
LIB-ART-124,بحث علمي,"Balance historiográfico del emirato Nazarí de Granada (siglos XIII-XV) desde los estudios sobre al-Andalus: instituciones, sociedad y economía",حصيلة تأريخية لإمارة غرناطة النصرية (ق 13–15) من منظور الدراسات الأندلسية: المؤسسات والمجتمع والاقتصاد,"Antonio Peláez Rovira (Escuela de Estudios Árabes, Granada)",Università di Napoli Federico II (Reti Medievali),2008,,DOI: 10.6092/1593-2214/118,Reti Medievali Rivista 9 (مقال رقم 28),,بحث,إسبانية,إسبانية,غرناطة النصرية,تأريخ ونقد مصادر; مؤسسات/قضاء/إدارة; مجتمع; اقتصاد وتجارة,مملكة غرناطة,عرض ببليوغرافي نقدي لدراسات المؤسسات والمجتمع والاقتصاد النصري؛ خريطة طريق لقراءة غرناطة.,متقدم,A,مؤلف متخصص ومجلة محكّمة؛ يتوقف عند 2008.,https://serena.sharepress.it/rm/article/view/4706,https://serena.sharepress.it/rm/article/view/4706,نص كامل مجاني,CC BY 4.0 (حسب صفحة المقال),اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة المقال على serena.sharepress.it (المجلد 9، DOI، الترخيص، الملخص)؛ رابط doi.org حجبه robots. (تاريخ التحقق 2026-09-23),وصف ناشر,درس; مقال موسوعي,[محور: مراجعات تأريخية],,v1.1,v1.1: سجل جديد,2026-09-23,TA-38
LIB-ART-125,بحث علمي,Los estudios arqueológicos sobre al-Andalus en el noreste de la provincia de Guadalajara. Historiografía del siglo XVI al siglo XXI,الدراسات الأثرية عن الأندلس في شمال شرق وادي الحجارة: التأريخ من القرن 16 إلى 21,Guillermo García-Contreras Ruiz,Universidad de Jaén,2016,,DOI: 10.17561/aytm.v23i0.3203,Arqueología y Territorio Medieval 23,,بحث,إسبانية,إسبانية,شامل,تأريخ ونقد مصادر; آثار,الثغر الأوسط (وادي الحجارة),مراجعة نقدية لخمسة قرون من البحث الأثري في منطقة ثغرية، مع موضوعاته وفجواته.,بحثي متخصص,B,مجلة آثار محكّمة؛ نطاق إقليمي.,http://revistaselectronicas.ujaen.es/index.php/ATM/article/view/3203,http://revistaselectronicas.ujaen.es/index.php/ATM/article/view/3203,نص كامل مجاني,CC BY 4.0 (حسب صفحة المقال),اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة المقال (المجلد 23، DOI، الترخيص، الملخص). (تاريخ التحقق 2026-09-23),وصف ناشر,درس; خريطة,[محور: مراجعات تأريخية / الثغر الأوسط],,v1.1,v1.1: سجل جديد,2026-09-23,TA-39
LIB-THS-001,رسالة جامعية,Al-Andalus et le Maghreb à l'époque des Omeyyades de Cordoue : réseaux d'échanges et ambitions impériales (IXe-XIe siècles),الأندلس والمغرب في عصر أمويي قرطبة: شبكات التبادل والطموحات الإمبراطورية (ق3–5هـ/9–11م),Aurélien Montel (مؤلف)؛ إشراف: Dominique Valérian,Université Lumière Lyon 2 — ED Sciences sociales,2019 (نوقشت 06/07/2019),أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الإمارة; الخلافة,سياسة; اقتصاد وتجارة; جغرافيا,الأندلس؛ المغرب الأقصى والأوسط,يدرس بناء فضاء العلاقات بين الأندلس والمغرب في العصر الأموي (شبكات تبادل، تدخل قرطبي في المغرب). يجيب عن: كيف ومتى اندمج الغرب الإسلامي قبل المرابطين؟,بحثي متخصص,A,أطروحة حديثة بإشراف متخصص في المغرب الوسيط؛ تسد فجوة العلاقات الأندلسية-المغربية. حدودها: غير متاحة إلكترونيًا.,https://theses.fr/api/v1/theses/these/2019LYSE2113,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr API: العنوان، المشرف، المؤسسة، تاريخ المناقشة، ومستخلص المؤلف؛ السجل يذكر أنها غير متاحة على الخط رغم وجود معرّف DOI 10.70675/677b641bz2b21z4c31za023z0ad612927b4d في قائمة البحث (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,خريطة (شبكات التبادل); خط زمني; مقال موسوعي,الصفحة العامة: https://theses.fr/2019LYSE2113,,v1.1,v1.1: سجل جديد,2026-09-23,TH-01
LIB-THS-002,رسالة جامعية,Des Wisigoths aux Omeyyades (672-852) : Monnaies et circulation monétaire dans le Nord d'al-Andalus,من القوط الغربيين إلى الأمويين (672–852م): النقود والتداول النقدي في شمال الأندلس,Sébastien Gasc؛ إشراف: Philippe Sénac,Sorbonne Université (Paris 4) — Études médiévales,2015 (نوقشت 16/10/2015),أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الفتح والولاة; الإمارة,مسكوكات; اقتصاد وتجارة; آثار,شمال الأندلس/الثغر الأعلى ووادي إبرو,يستخدم المسكوكات (فلوس الولاة، الدراهم) لتعويض شح النصوص عن الفتح وعصر الولاة في الشمال. يجيب عن: كيف انتقل النظام النقدي من القوطي إلى الإسلامي؟,بحثي متخصص,A,أطروحة بإشراف فيليب سيناك المتخصص في الثغر الأعلى؛ من القلائل في النقود المبكرة. غير متاحة إلكترونيًا.,https://theses.fr/api/v1/theses/these/2015PA040161,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرف، التخصص، المستخلص (أول جملتين)؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,خط زمني (الفتح); مسكوكات للأطلس; خريطة,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-02
LIB-THS-003,رسالة جامعية,Le discours historique d'al-Andalus depuis la conquête arabe jusqu'à l'époque des taifas,الخطاب التاريخي في الأندلس من الفتح العربي إلى عصر الطوائف,Mateusz Wilk؛ إشراف: Gabriel Martinez-Gros,EHESS، باريس — Histoire et civilisations,2008,أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الفتح والولاة; الإمارة; الخلافة; الفتنة والطوائف,تأريخ ونقد مصادر,الأندلس,تحليل الحوليات الأندلسية من تاريخ عبد الملك بن حبيب إلى أخبار مجموعة وفتح الأندلس، وتحوّل إدراك الأندلسيين لتاريخهم. يجيب عن: كيف صيغت رواية الفتح ولماذا؟,بحثي متخصص,A,أساسي لنقد مصادر الفتح. غير متاح إلكترونيًا.,https://theses.fr/api/v1/theses/these/2008EHES0163,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرف، المستخلص؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,مقال موسوعي (نقد المصادر); درس,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-03
LIB-THS-004,رسالة جامعية,L'individualisation de la chirurgie en al-Andalus (Xe-XIVe siècles).,استقلال الجراحة عن الطب في الأندلس (ق10–14م),Ouidad Hamitri؛ إشراف: Laurence Moulinier وDominique Valérian,Université Lumière Lyon 2 — Histoire,2023 (نوقشت 20/12/2023),أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الخلافة; الممالك المتأخرة; غرناطة النصرية,علوم وطب وفلك,الأندلس,يقارن الزهراوي (التصريف) والشفرة (القرن 14) لبيان تمايز الجراحة عن الطب. يجيب عن: كيف تشكّلت الجراحة تخصصًا مستقلًا في الأندلس؟,بحثي متخصص,A,أطروحة حديثة في تاريخ الطب الأندلسي نادرة الموضوع. غير متاحة إلكترونيًا.,https://theses.fr/api/v1/theses/these/2023LYO20099,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرفتان، المستخلص؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,بطاقة شخصية (الزهراوي، الشفرة); مقال موسوعي,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-04
LIB-THS-005,رسالة جامعية,La géométrie des coniques dans la tradition de l'Occident musulman à travers le Kitab al-Istikmal [Livre de l'accomplissement] d'al-Mu'taman (m. 1085),هندسة القطوع المخروطية في تقليد الغرب الإسلامي من خلال كتاب الاستكمال للمؤتمن بن هود (ت 1085),Abdelmalek Bouzari؛ إشراف: Ahmed Djebbar,Université Lille 1 — Histoire des mathématiques,2008 (نوقشت 17/11/2008),أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),10.70675/5fd52cfezbdeez4b22zbe93zde419c20fc85,,,أطروحة دكتوراه,فرنسية,فرنسية,الفتنة والطوائف,علوم وطب وفلك; مخطوطات,سرقسطة/الثغر الأعلى,تحقيق نقدي وترجمة فرنسية وتحليل رياضي لفصلي القطوع من الاستكمال لملك سرقسطة الهودي. يجيب عن: ما مستوى الرياضيات في بلاط طائفة سرقسطة؟,بحثي متخصص,A,إشراف أحمد جبار (مرجع في الرياضيات المغربية-الأندلسية)؛ يتضمن تحقيقًا. متاح نصًا كاملًا.,https://theses.fr/api/v1/theses/these/2008LIL10062,https://doi.org/10.70675/5fd52cfezbdeez4b22zbe93zde419c20fc85,نص كامل مجاني,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: الإتاحة الإلكترونية = نعم مع رابط DOI؛ المستخلص. لم أفتح ملف PDF نفسه (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,بطاقة شخصية (المؤتمن); درس (العلوم),,,v1.1,v1.1: سجل جديد,2026-09-23,TH-05
LIB-THS-006,رسالة جامعية,"Pouvoir et légitimité dans l'Espagne musulmane à l'époque des Taifas, Ve/XIe siècle",السلطة والشرعية في إسبانيا الإسلامية عصر الطوائف (ق5هـ/11م),François Clément؛ إشراف: Alain Ducellier,Université Toulouse 2,1992,أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الفتنة والطوائف,سياسة; مؤسسات/قضاء/إدارة,الأندلس (ممالك الطوائف),يحاجّ بأن الطوائف لم تكن تفككًا لبنى الدولة بل استمرارًا لها، ويحلل آليات الشرعية. يجيب عن: كيف برّر ملوك الطوائف سلطتهم؟,بحثي متخصص,A,مرجع كلاسيكي للطوائف؛ معروف أنه نُشر كتابًا لاحقًا (لم أتحقق في هذه الجولة). غير متاح إلكترونيًا.,https://theses.fr/api/v1/theses/these/1992TOU20012,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرف، المستخلص؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,مقال موسوعي (الطوائف); خط زمني,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-06
LIB-THS-007,رسالة جامعية,Les fonctionnaires épistoliers (kuttâb al-inshâ) en Espagne musulmane à l'époque des roitelets (Ve s. H. /XIe s. ),كتّاب الإنشاء في إسبانيا الإسلامية عصر ملوك الطوائف (ق5هـ/11م),Bruna Soravia؛ إشراف: Odette Petit,Université Paris 3,1998,أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الفتنة والطوائف,مؤسسات/قضاء/إدارة; أدب وشعر; مجتمع,الأندلس (بلاطات الطوائف),دراسة نخبة كتّاب الدواوين في بلاطات الطوائف من خلال التراجم والأدب. يجيب عن: من أدار دواوين الطوائف وما ثقافتهم؟,بحثي متخصص,B,متخصصة في فئة إدارية؛ تكمّل أطروحة كليمان. غير متاحة إلكترونيًا.,https://theses.fr/api/v1/theses/these/1998PA030105,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرفة، المستخلص؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,بطاقات شخصيات (الوزراء الكتّاب); مقال موسوعي,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-07
LIB-THS-008,رسالة جامعية,La Taifa de Denia et la Méditerranée au Ve / XIe siècle,طائفة دانية والمتوسط في القرن 5هـ/11م,Travis Bruce؛ إشراف: Philippe Sénac,Université Toulouse 2 — Histoire médiévale,2009,أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الفتنة والطوائف,بحرية وموانئ; سياسة; اقتصاد وتجارة,دانية والجزر الشرقية (البليار) وغرب المتوسط,دراسة طائفة دانية (مجاهد العامري وابنه) ونشاطها البحري المتوسطي. يجيب عن: كيف بنت طائفة ساحلية قوتها على البحر؟,بحثي متخصص,A,تسد ثغرتي الطوائف (مملكة بعينها) والبحرية. لا يوجد مستخلص في السجل؛ غير متاحة إلكترونيًا.,https://theses.fr/api/v1/theses/these/2009TOU20007,,فهرس فقط,غير متحقق,سجل ببليوغرافي فقط,فتحت سجل theses.fr: العنوان، المشرف، التخصص؛ حقل المستخلص فارغ؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس,خريطة (دانية والبليار); مقال موسوعي,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-08
LIB-THS-009,رسالة جامعية,Les problèmes particuliers de la fiscalité en Espagne musulmane post-califale (XIe-XIIIe siècles),مشكلات الجباية في إسبانيا الإسلامية بعد الخلافة (ق11–13م),Safâa Abouelyzza؛ إشراف: Dominique Urvoy,Université Toulouse 2 — تاريخ القانون,2010,أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الفتنة والطوائف; المرابطون; الموحدون,اقتصاد وتجارة; فلسفة وفقه; مؤسسات/قضاء/إدارة,الأندلس,يعالج الضرائب الشرعية وغير الشرعية (المغارم) في الطوائف والمرابطين والموحدين عبر المدونات الفقهية. يجيب عن: كيف موّلت دول ما بعد الخلافة نفسها ولماذا أثارت الجباية الاحتجاج؟,بحثي متخصص,B,موضوع اقتصادي نادر؛ منهجه فقهي-قانوني أكثر منه تاريخي-كمي. غير متاحة إلكترونيًا.,https://theses.fr/api/v1/theses/these/2010TOU20029,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرف، المستخلص؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,مقال موسوعي (الاقتصاد والجباية),,,v1.1,v1.1: سجل جديد,2026-09-23,TH-09
LIB-THS-010,رسالة جامعية,Le domaine maritime en occident musulman a l'epoque almohade (douzieme et treizieme siecles),المجال البحري في الغرب الإسلامي عصر الموحدين (ق12–13م),Jamal Eddine Arbach؛ إشراف: Alain Ducellier,Université Toulouse 2 — Histoire,1996,أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الموحدون,بحرية وموانئ; عسكري; اقتصاد وتجارة,الأندلس والمغرب وسواحل المتوسط والأطلسي,يعيد تقييم النشاط البحري الموحدي (الأسطول، الموانئ، التجارة) ضد الرأي القائل بهامشيته. يجيب عن: ما حجم القوة البحرية الموحدية ومرافئها؟,بحثي متخصص,B,من الدراسات القليلة عن البحرية الموحدية؛ قديمة نسبيًا وغير متاحة إلكترونيًا.,https://theses.fr/api/v1/theses/these/1996TOU20015,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرف، المستخلص؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,خريطة (الموانئ والأساطيل); مقال موسوعي,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-10
LIB-THS-011,رسالة جامعية,Une frontière entre chrétienté et Islam : la région entre Tage et Sierra Morena (fin XIe-milieu XIIIe siècle),حدود بين المسيحية والإسلام: المنطقة بين التاجه وسييرا مورينا (أواخر ق11–منتصف ق13م),Pascal Buresi؛ إشراف: Pierre Guichard,Université Lumière Lyon 2 — Histoire,2000,أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,المرابطون; الموحدون; الممالك المتأخرة,عسكري; جغرافيا; آثار; مجتمع,الحدود القشتالية-الأندلسية (لامانشا، قلعة رباح، سييرا مورينا),يجمع المصادر العربية واللاتينية والمسوح الأثرية لدراسة الحدود حتى ما بعد العقاب (1212) وسقوط قرطبة. يجيب عن: كيف تحركت الحدود وما شكل الاستيطان فيها؟,بحثي متخصص,A,إشراف غيشار؛ تعالج انتقال 1212–1250 مباشرة؛ معروف أنها نُشرت كتابًا 2004 (لم أتحقق في هذه الجولة). السجل يذكر إتاحتها إلكترونيًا دون رابط ظاهر.,https://theses.fr/api/v1/theses/these/2000LYO20107,,نص كامل مجاني,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: الإتاحة الإلكترونية = نعم (دون رابط في الاستجابة)؛ المستخلص. الرابط المباشر للنص لم أتحقق منه (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,خريطة (الحدود والحصون); خط زمني (1212–1250),الإتاحة مأخوذة من حقل theses.fr؛ ابحث عن النص في مستودع Lyon 2 (theses.univ-lyon2.fr) — لم أتحقق,,v1.1,v1.1: سجل جديد,2026-09-23,TH-11
LIB-THS-012,رسالة جامعية,L'ordre almohade (1120-1269) : une nouvelle lecture anthropologique,النظام الموحدي (1120–1269): قراءة أنثروبولوجية جديدة,Mehdi Ghouirgate؛ إشراف: Philippe Sénac,Université Toulouse 2 — Histoire,2011 (نوقشت 07/10/2011),أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الموحدون,سياسة; مؤسسات/قضاء/إدارة; عمارة وفنون,المغرب والأندلس,يحلل آليات فرض النظام السياسي الموحدي: طقوس الخلافة، التنصيب، المواكب، الرموز. يجيب عن: كيف حكم الموحدون ومثّلوا سلطتهم؟,بحثي متخصص,A,مرجع حديث مؤثر؛ معروف أنه نُشر كتابًا 2014 (لم أتحقق في هذه الجولة). غير متاح إلكترونيًا.,https://theses.fr/api/v1/theses/these/2011TOU20094,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرف، المستخلص؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,مقال موسوعي (الموحدون); خط زمني,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-12
LIB-THS-013,رسالة جامعية,La vie rurale entre Tage et Guadiana de l'Islam à la Reconquête (Xe-XIVe siècles),الحياة الريفية بين التاجه ووادي آنة من العهد الإسلامي إلى الاسترداد (ق10–14م),Stéphane Boissellier؛ إشراف: Robert Durand,Université de Nantes — Histoire,1996,أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الخلافة; الفتنة والطوائف; المرابطون; الموحدون; الممالك المتأخرة,زراعة وتقنيات; مجتمع; اقتصاد وتجارة,غرب الأندلس (جنوب البرتغال الحالي),دراسة نادرة للعالم الريفي في غرب الأندلس والانتقال إلى الحكم البرتغالي. يجيب عن: ماذا تغيّر في الريف مع الاسترداد في الغرب؟,بحثي متخصص,A,تسد ثغرة غرب الأندلس؛ معروف أنها نُشرت كتابًا بالبرتغال 1999 (لم أتحقق). غير متاحة إلكترونيًا.,https://theses.fr/api/v1/theses/these/1996NANT3001,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرف، المستخلص؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,خريطة (غرب الأندلس); مقال موسوعي,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-13
LIB-THS-014,رسالة جامعية,L'épigraphie de l'Alhambra : de l'usage fonctionnel à la réception esthétique,نقوش الحمراء: من الاستعمال الوظيفي إلى التلقي الجمالي,Farah Makki؛ إشراف: Houari Touati,EHESS، باريس — Histoire et civilisations,2016,أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,غرناطة النصرية,نقوش; عمارة وفنون,غرناطة (الحمراء),يدرس الكتابات المعمارية في قصور الحمراء بوصفها تجربة مكانية وبرنامجًا اجتماعيًا. يجيب عن: كيف كانت النقوش تُقرأ وتُعاش في الحمراء؟,بحثي متخصص,B,متخصصة جماليًا لا في جمع النقوش وتحقيقها؛ تُستكمل بمدونات النقوش. غير متاحة إلكترونيًا.,https://theses.fr/api/v1/theses/these/2016EHES0114,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرف، المستخلص؛ الإتاحة: غير متاحة (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,صورة/مادة بصرية للأطلس (الحمراء); مقال موسوعي,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-14
LIB-THS-015,رسالة جامعية,Pour une approche des pratiques graphiques en al-Andalus : graffiti et plateaux de jeux à Albalat (IXe - XIIe s.).,نحو مقاربة للممارسات الخطية في الأندلس: الرسوم الجدارية وألواح اللعب في البلاط (ق9–12م),Léa Buttard؛ إشراف: Cyrille Aillet وAlberto García Porras وSophie Gilotte,Université Lumière Lyon 2 (بإشراف مشترك مع جامعة غرناطة),2026 (نوقشت 19/01/2026),أطروحة دكتوراه (مجلد واحد على الأقل؛ عدد الأجزاء لم أتحقق),لم أتحقق,,,أطروحة دكتوراه,فرنسية,فرنسية,الإمارة; الخلافة; الفتنة والطوائف; المرابطون,آثار; نقوش; مجتمع,البلاط (Albalat، كاسيريس) — الثغر الأدنى,دراسة أثرية للرسوم الجدارية وألواح الألعاب في موقع قرية محصّنة. يجيب عن: ماذا تكشف الكتابات والرسوم العفوية عن الحياة اليومية والتسلية؟,بحثي متخصص,B,حديثة جدًا (2026) وضيقة جغرافيًا لكنها فريدة لموضوع الحياة اليومية. غير متاحة إلكترونيًا بعد.,https://theses.fr/api/v1/theses/these/2026LYO20007,,فهرس فقط,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل theses.fr: العنوان، المشرفون، المستخلص؛ الإتاحة: غير متاحة (يوجد DOI 10.70675/34ec1f7ezaed1z4788z82b2z46e9c60cf44f) (تاريخ التحقق 2026-09-23),فهرس/مستخلص المؤلف في السجل,صورة (ألواح اللعب); درس الحياة اليومية; خريطة موقع,,,v1.1,v1.1: سجل جديد,2026-09-23,TH-15
